Chair Name, Cell Name, Location ID, Chair X, Chair Y, Chair Z
"Chair #1", "A Fighting Chance Basement", "ICMarketDistrictAFightingChanceBasement", 1216.000000, 2432.000000, 7504.000000
"Chair #2", "A Fighting Chance Basement", "ICMarketDistrictAFightingChanceBasement", 1505.561279, 2042.196655, 7504.000000
"Chair #3", "A Fighting Chance Basement", "ICMarketDistrictAFightingChanceBasement", 1585.845947, 2033.600220, 7504.000000
"Bed #1", "A Fighting Chance Private Quarters", "ICMarketDistrictAFightingChanceUpstairs", 2435.812744, 2316.868652, 6904.088867
"Chair #1", "A Fighting Chance Private Quarters", "ICMarketDistrictAFightingChanceUpstairs", 1659.274414, 1944.631226, 6948.043945
"Chair #2", "A Fighting Chance Private Quarters", "ICMarketDistrictAFightingChanceUpstairs", 1724.365356, 2239.535156, 6949.066895
"Chair #3", "A Fighting Chance Private Quarters", "ICMarketDistrictAFightingChanceUpstairs", 1729.113770, 1823.205444, 6949.066895
"Chair #4", "A Fighting Chance Private Quarters", "ICMarketDistrictAFightingChanceUpstairs", 1764.052246, 2081.541016, 6948.679688
"Chair #5", "A Fighting Chance Private Quarters", "ICMarketDistrictAFightingChanceUpstairs", 2088.763672, 1889.586914, 6949.066895
"Chair #6", "A Fighting Chance Private Quarters", "ICMarketDistrictAFightingChanceUpstairs", 2101.428223, 2017.212891, 6949.066895
"Chair #7", "A Fighting Chance Private Quarters", "ICMarketDistrictAFightingChanceUpstairs", 2235.955811, 1918.253906, 6949.066895
"Chair #1", "A Fighting Chance", "ICMarketDistrictAFightingChance", -83.536835, -95.723572, -63.216152
"Chair #2", "A Fighting Chance", "ICMarketDistrictAFightingChance", 249.099319, -615.372681, -59.306274
"Chair #3", "A Fighting Chance", "ICMarketDistrictAFightingChance", 512.883423, -644.957947, -59.306274
"Chair #4", "A Fighting Chance", "ICMarketDistrictAFightingChance", 67.180855, 15.130242, -63.216152
"Bed #1", "A Warlock's Luck", "BravilaWarlockluck", -252.233871, -313.545593, -253.739914
"Bed #2", "A Warlock's Luck", "BravilaWarlockluck", 217.480026, -346.262482, -253.654892
"Bench #1", "A Warlock's Luck", "BravilaWarlockluck", 145.075928, 118.934227, -272.763519
"Chair #1", "A Warlock's Luck", "BravilaWarlockluck", -290.721191, -106.320412, -485.284882
"Chair #2", "A Warlock's Luck", "BravilaWarlockluck", 131.545547, 237.657730, -486.040619
"Chair #3", "A Warlock's Luck", "BravilaWarlockluck", 213.234833, -155.753418, -255.398056
"Chair #4", "A Warlock's Luck", "BravilaWarlockluck", 319.811066, -250.988052, -473.111664
"Stool #1", "A Warlock's Luck", "BravilaWarlockluck", -182.551498, 107.734413, -271.754181
"Stool #2", "A Warlock's Luck", "BravilaWarlockluck", -241.076355, 169.383240, -271.754181
"Stool #3", "A Warlock's Luck", "BravilaWarlockluck", -61.160839, 330.385376, -270.332611
"Chair #1", "Abandoned House", "AnvilAbandonedHouse", 392.778564, -111.619347, 185.508652
"Stool #1", "Abandoned House", "AnvilAbandonedHouse", 437.336334, 23.153833, 167.159485
"A Battered Stool #1", "Abandoned Mine Caverns", "AbandonedMine02", -1701.211426, -4065.681152, -607.850708
"Bedroll #1", "Abandoned Mine Caverns", "AbandonedMine02", -1511.905273, -3379.282227, -522.772034
"A Battered Stool #1", "Abandoned Mine", "AbandonedMine", 615.120972, -305.930450, 6123.285645
"Bedroll #1", "Abandoned Mine", "AbandonedMine", 1634.791016, -173.294815, 5921.795898
"Bedroll #1", "Abandoned Shack", "ICWaterfrontAbandonedShack", 2016.463501, 2124.672119, 7061.153320
"Bedroll #2", "Abandoned Shack", "ICWaterfrontAbandonedShack", 2145.566650, 2201.187744, 7061.153320
"Chair #1", "Abandoned Shack", "ICWaterfrontAbandonedShack", 1799.701904, 2121.800293, 7074.085449
"Chair #2", "Abandoned Shack", "ICWaterfrontAbandonedShack", 2254.135254, 2275.197266, 7106.654297
"Chair #1", "Adrian Decanius' Basement", "ICElvenGardensAdrianDecaniusHouseBasement", -176.776703, -149.447403, 549.988525
"Chair #2", "Adrian Decanius' Basement", "ICElvenGardensAdrianDecaniusHouseBasement", -179.854340, 32.594105, 548.288391
"Chair #3", "Adrian Decanius' Basement", "ICElvenGardensAdrianDecaniusHouseBasement", -192.783203, 357.803589, 561.639648
"Chair #4", "Adrian Decanius' Basement", "ICElvenGardensAdrianDecaniusHouseBasement", 153.244873, -295.580933, 549.988525
"Chair #5", "Adrian Decanius' Basement", "ICElvenGardensAdrianDecaniusHouseBasement", 196.871078, 419.754913, 561.639648
"Chair #6", "Adrian Decanius' Basement", "ICElvenGardensAdrianDecaniusHouseBasement", 228.305771, 228.893448, 558.398315
"Chair #7", "Adrian Decanius' Basement", "ICElvenGardensAdrianDecaniusHouseBasement", 233.744980, -5.808533, 548.288391
"Chair #8", "Adrian Decanius' Basement", "ICElvenGardensAdrianDecaniusHouseBasement", 264.997070, 119.082611, 561.639648
"Chair #9", "Adrian Decanius' Basement", "ICElvenGardensAdrianDecaniusHouseBasement", 277.634430, 50.857552, 561.639648
"Chair #10", "Adrian Decanius' Basement", "ICElvenGardensAdrianDecaniusHouseBasement", 279.179901, -158.026443, 561.639648
"Chair #11", "Adrian Decanius' Basement", "ICElvenGardensAdrianDecaniusHouseBasement", 32.360584, 255.762421, 558.398315
"Chair #12", "Adrian Decanius' Basement", "ICElvenGardensAdrianDecaniusHouseBasement", 4.796428, 123.943993, 561.639648
"Chair #13", "Adrian Decanius' Basement", "ICElvenGardensAdrianDecaniusHouseBasement", 6.823938, -244.560318, 549.988525
"Chair #14", "Adrian Decanius' Basement", "ICElvenGardensAdrianDecaniusHouseBasement", 63.880928, 125.702431, 561.639648
"Chair #15", "Adrian Decanius' Basement", "ICElvenGardensAdrianDecaniusHouseBasement", 65.993668, -120.472282, 561.639648
"Chair #16", "Adrian Decanius' Basement", "ICElvenGardensAdrianDecaniusHouseBasement", 94.167580, 381.370178, 558.398315
"Bench #1", "Adrian Decanius' House", "ICElvenGardensAdrianDecaniusHouse", 335.452942, 484.976105, -195.052826
"Bench #2", "Adrian Decanius' House", "ICElvenGardensAdrianDecaniusHouse", 407.582306, 384.449463, -195.052826
"Chair #1", "Adrian Decanius' House", "ICElvenGardensAdrianDecaniusHouse", -202.726120, 402.919861, -164.198196
"Bed #1", "Adrian Decanius' Private Quarters", "ICElvenGardensAdrianDecaniusHouseUpstairs", -222.169464, 438.995422, 532.065125
"Chair #1", "Adrian Decanius' Private Quarters", "ICElvenGardensAdrianDecaniusHouseUpstairs", -258.263336, 161.618103, 544.969238
"Chair #2", "Adrian Decanius' Private Quarters", "ICElvenGardensAdrianDecaniusHouseUpstairs", 116.683617, -104.424347, 547.556396
"Chair #3", "Adrian Decanius' Private Quarters", "ICElvenGardensAdrianDecaniusHouseUpstairs", 193.286255, 333.226654, 542.763062
"Chair #4", "Adrian Decanius' Private Quarters", "ICElvenGardensAdrianDecaniusHouseUpstairs", 289.216919, 83.893318, 547.556396
"Chair #5", "Adrian Decanius' Private Quarters", "ICElvenGardensAdrianDecaniusHouseUpstairs", 309.918488, -109.962914, 544.969238
"Bed #1", "Aengvir's House", "HarlunsWatchAengvirsHouse", 264.359222, -168.240189, -128.191132
"Chair #1", "Aengvir's House", "HarlunsWatchAengvirsHouse", -108.529739, 210.448456, -127.465935
"Chair #2", "Aengvir's House", "HarlunsWatchAengvirsHouse", -313.823486, 193.710419, -127.465935
"Stool #1", "Agarmir's Basement", "ICTalosPlazaAgarmirsHouseBasement", 1881.693604, 1856.063110, 7215.734375
"Chair #1", "Agarmir's House", "ICTalosPlazaAgarmirsHouse", -130.866440, 94.291641, -173.467209
"Chair #2", "Agarmir's House", "ICTalosPlazaAgarmirsHouse", -396.198090, 355.959473, -174.477951
"Chair #3", "Agarmir's House", "ICTalosPlazaAgarmirsHouse", 124.108421, 17.942806, -174.685608
"Chair #4", "Agarmir's House", "ICTalosPlazaAgarmirsHouse", 76.119827, -105.612724, -174.685608
"Bed #1", "Agarmir's Private Quarters", "ICTalosPlazaAgarmirsHouseUpstairs", -389.157776, 350.657837, 718.742310
"Bench #1", "Agarmir's Private Quarters", "ICTalosPlazaAgarmirsHouseUpstairs", -169.749359, 222.256378, 687.159058
"Chair #1", "Agarmir's Private Quarters", "ICTalosPlazaAgarmirsHouseUpstairs", 183.405487, -36.865013, 715.150330
"Chair #2", "Agarmir's Private Quarters", "ICTalosPlazaAgarmirsHouseUpstairs", 40.801346, -83.192001, 715.150330
"Chair #1", "Ahdarji's House 2nd Floor East", "LeyawiinAhdarjisHouse2ndFloorEast", 2766.065918, -54.800125, 44.156067
"Chair #2", "Ahdarji's House 2nd Floor East", "LeyawiinAhdarjisHouse2ndFloorEast", 2868.513428, 207.788635, 44.156067
"Bed #1", "Ahdarji's House 2nd Floor West", "LeyawiinAhdarjisHouse2ndFloorWest", -2614.054688, 210.213196, 47.941193
"Bed #2", "Ahdarji's House 2nd Floor West", "LeyawiinAhdarjisHouse2ndFloorWest", -2625.369141, -356.273987, 48.693142
"Chair #1", "Ahdarji's House 2nd Floor West", "LeyawiinAhdarjisHouse2ndFloorWest", -2665.439697, -136.988632, 47.313675
"Chair #2", "Ahdarji's House 2nd Floor West", "LeyawiinAhdarjisHouse2ndFloorWest", -2902.970703, 274.083862, 44.123047
"Chair #3", "Ahdarji's House 2nd Floor West", "LeyawiinAhdarjisHouse2ndFloorWest", -2953.957275, -405.231812, 46.553780
"Bench #1", "Ahdarji's House", "LeyawiinAhdarjisHouse", -222.259262, -114.853012, 16.357908
"Chair #1", "Ahdarji's House", "LeyawiinAhdarjisHouse", -449.977692, 108.508354, 42.099781
"Chair #2", "Ahdarji's House", "LeyawiinAhdarjisHouse", -471.918030, -312.028198, 44.892555
"Chair #3", "Ahdarji's House", "LeyawiinAhdarjisHouse", -53.791958, -83.177979, 332.527527
"Chair #4", "Ahdarji's House", "LeyawiinAhdarjisHouse", -660.104309, -320.516510, 44.892555
"Chair #5", "Ahdarji's House", "LeyawiinAhdarjisHouse", -660.212219, 398.752014, 44.892555
"Chair #6", "Ahdarji's House", "LeyawiinAhdarjisHouse", -74.092880, 220.757935, 41.928627
"Chair #7", "Ahdarji's House", "LeyawiinAhdarjisHouse", 243.294144, -124.972565, 41.928627
"Chair #8", "Ahdarji's House", "LeyawiinAhdarjisHouse", 478.233612, 388.265717, 41.928627
"Chair #9", "Ahdarji's House", "LeyawiinAhdarjisHouse", 520.915527, -80.580948, 41.928627
"Chair #10", "Ahdarji's House", "LeyawiinAhdarjisHouse", 525.458679, -271.235077, 41.928627
"Chair #11", "Ahdarji's House", "LeyawiinAhdarjisHouse", 621.567505, -267.762451, 41.928627
"Chair #12", "Ahdarji's House", "LeyawiinAhdarjisHouse", 627.781677, -66.367943, 41.928627
"Chair #13", "Ahdarji's House", "LeyawiinAhdarjisHouse", 637.748535, 378.780151, 41.748878
"Chair #14", "Ahdarji's House", "LeyawiinAhdarjisHouse", 81.400352, -79.306976, 332.612946
"Bed #1", "AI Testing Warehouse", "WarehouseAI", 1623.978638, 2102.122559, 7028.474609
"Bed #2", "AI Testing Warehouse", "WarehouseAI", 1625.137939, 2310.081787, 6996.269531
"Bedroll #1", "AI Testing Warehouse", "WarehouseAI", 1882.430908, 2397.956299, 6997.643066
"Bedroll #2", "AI Testing Warehouse", "WarehouseAI", 2119.346191, 2431.736816, 6997.643066
"Bench #1", "AI Testing Warehouse", "WarehouseAI", 2655.426025, 2114.425049, 7011.959961
"Chair #1", "AI Testing Warehouse", "WarehouseAI", 2216.326660, 1873.096436, 7042.546875
"Stool #1", "Alberic Litte's Basement", "ChorrolAlbericLittesBasement", 349.268646, -424.779449, -111.370140
"Bed #1", "Alberic Litte's House", "ChorrolAlbericLittesHouse", -38.657082, 279.275818, -91.193138
"Bed #2", "Alberic Litte's House", "ChorrolAlbericLittesHouse", 296.581024, -180.007080, -89.701164
"Bench #1", "Alberic Litte's House", "ChorrolAlbericLittesHouse", -422.265930, 103.042686, -109.972359
"Bench #2", "Alberic Litte's House", "ChorrolAlbericLittesHouse", 285.808136, -121.788834, -334.723297
"Bench #3", "Alberic Litte's House", "ChorrolAlbericLittesHouse", 313.068817, 0.879371, -334.636505
"Bench #4", "Alberic Litte's House", "ChorrolAlbericLittesHouse", 338.991394, -120.529167, -334.723297
"Chair #1", "Alberic Litte's House", "ChorrolAlbericLittesHouse", -149.619003, 337.006134, -304.609985
"Chair #2", "Alberic Litte's House", "ChorrolAlbericLittesHouse", -316.094604, 334.524323, -80.494987
"Chair #3", "Alberic Litte's House", "ChorrolAlbericLittesHouse", -454.980286, 307.498474, -79.302368
"Chair #4", "Alberic Litte's House", "ChorrolAlbericLittesHouse", -481.073364, 89.021889, -79.002930
"Chair #5", "Alberic Litte's House", "ChorrolAlbericLittesHouse", -62.627102, 116.072472, -304.610016
"Chair #6", "Alberic Litte's House", "ChorrolAlbericLittesHouse", 344.086792, -264.567169, -304.908844
"Stool #1", "Alberic Litte's House", "ChorrolAlbericLittesHouse", -372.449432, 336.062347, -110.021645
"Bed #1", "Aldos Othran's House", "CheydinhalAldosOthransHouse", 419.780579, -82.529961, 21.409077
"Bench #1", "Aldos Othran's House", "CheydinhalAldosOthransHouse", -66.947891, -256.188690, 1.518539
"Bench #2", "Aldos Othran's House", "CheydinhalAldosOthransHouse", 357.768951, 235.095444, -1.674647
"Chair #1", "Aldos Othran's House", "CheydinhalAldosOthransHouse", 298.000000, 196.000000, -204.000000
"Chair #2", "Aldos Othran's House", "CheydinhalAldosOthransHouse", 328.000000, -10.000000, -190.000000
"Chair #3", "Aldos Othran's House", "CheydinhalAldosOthransHouse", 585.849548, 3.810527, -204.000000
"Chair #4", "Aldos Othran's House", "CheydinhalAldosOthransHouse", 611.876221, 265.168304, 29.211145
"Chair #5", "Aldos Othran's House", "CheydinhalAldosOthransHouse", 744.000000, -28.000000, -204.000000
"Bed #1", "Aleron Loche's House", "BravilAleronLochesHouse", -217.987717, -308.968872, -192.212265
"Bench #1", "Aleron Loche's House", "BravilAleronLochesHouse", 182.744934, 41.039337, -206.434387
"Chair #1", "Aleron Loche's House", "BravilAleronLochesHouse", -259.071167, 237.278397, -192.714081
"Bedroll #1", "Aleswell Inn", "AleswellInn", 1782.522339, 2300.568359, 6161.753906
"Bedroll #2", "Aleswell Inn", "AleswellInn", 1947.102905, 2300.756592, 6162.526855
"Chair #1", "Aleswell Inn", "AleswellInn", 1819.167847, 2085.831787, 5983.446289
"Chair #2", "Aleswell Inn", "AleswellInn", 1821.585327, 2146.173584, 5983.446289
"Chair #3", "Aleswell Inn", "AleswellInn", 1951.228516, 2369.366455, 5983.446289
"Chair #4", "Aleswell Inn", "AleswellInn", 1957.952148, 2254.591797, 5983.446289
"Chair #1", "Algot's Basement", "ICTempleDistrictAlgotsBasement", 1753.101074, 2011.560669, 7150.976563
"Chair #1", "Algot's House", "ICTempleDistrictAlgotsHouse", 189.390152, -140.090256, -201.348511
"Chair #2", "Algot's House", "ICTempleDistrictAlgotsHouse", 477.448730, 42.255188, -203.062225
"Chair #3", "Algot's House", "ICTempleDistrictAlgotsHouse", 80.803642, -85.111717, -201.348511
"Bed #1", "Algot's Private Quarters", "ICTempleDistrictAlgotsHouseUpstairs", 425.790649, -49.175491, 535.778198
"Chair #1", "Algot's Private Quarters", "ICTempleDistrictAlgotsHouseUpstairs", 157.646851, -280.127625, 546.608643
"Chair #2", "Algot's Private Quarters", "ICTempleDistrictAlgotsHouseUpstairs", 260.582458, -272.103271, 546.608643
"Chair #3", "Algot's Private Quarters", "ICTempleDistrictAlgotsHouseUpstairs", 60.506348, -161.513870, 548.554932
"Chair #4", "Algot's Private Quarters", "ICTempleDistrictAlgotsHouseUpstairs", 631.023560, 103.392342, 546.608643
"Chair #5", "Algot's Private Quarters", "ICTempleDistrictAlgotsHouseUpstairs", 819.426758, -205.284821, 546.608643
"Bed #1", "All Things Alchemical", "SkingradAllThingsAlchemical", -166.370514, -383.689117, -106.561279
"Chair #1", "All Things Alchemical", "SkingradAllThingsAlchemical", -169.511749, -349.671967, -369.983673
"Chair #2", "All Things Alchemical", "SkingradAllThingsAlchemical", -202.854874, 380.072601, -628.375366
"Chair #3", "All Things Alchemical", "SkingradAllThingsAlchemical", -299.560760, -64.232025, -631.855774
"Chair #4", "All Things Alchemical", "SkingradAllThingsAlchemical", 1.420335, 234.529663, -628.375366
"Chair #5", "All Things Alchemical", "SkingradAllThingsAlchemical", 109.407303, 169.787186, -369.475037
"Chair #6", "All Things Alchemical", "SkingradAllThingsAlchemical", 113.978691, 151.401001, -110.189377
"Chair #7", "All Things Alchemical", "SkingradAllThingsAlchemical", 281.958191, -396.445374, -110.567230
"Chair #8", "All Things Alchemical", "SkingradAllThingsAlchemical", 42.183456, -361.119171, -633.611206
"Chair #9", "All Things Alchemical", "SkingradAllThingsAlchemical", 74.760788, -419.447906, -110.567223
"Stool #1", "All Things Alchemical", "SkingradAllThingsAlchemical", -111.231339, -230.525543, -395.916351
"Bench #1", "Alval Uvani's Basement", "LeyawiinAlvalUvanisHouseBasement", -427.360779, -228.207047, -264.202637
"Bench #2", "Alval Uvani's Basement", "LeyawiinAlvalUvanisHouseBasement", -648.254944, 55.135551, -264.202637
"Bench #3", "Alval Uvani's Basement", "LeyawiinAlvalUvanisHouseBasement", -720.199585, -604.256836, -264.202637
"Stool #1", "Alval Uvani's Basement", "LeyawiinAlvalUvanisHouseBasement", -606.733337, -251.628906, -263.193237
"Stool #2", "Alval Uvani's Basement", "LeyawiinAlvalUvanisHouseBasement", -730.705200, -95.730309, -263.193237
"Stool #3", "Alval Uvani's Basement", "LeyawiinAlvalUvanisHouseBasement", -748.851746, -332.177277, -263.193237
"Stool #4", "Alval Uvani's Basement", "LeyawiinAlvalUvanisHouseBasement", -815.005432, -212.744446, -263.193237
"Bench #1", "Alval Uvani's House ", "LeyawiinAlvalUvanisHouse", 229.382248, -15.073582, 16.427906
"Chair #1", "Alval Uvani's House ", "LeyawiinAlvalUvanisHouse", -1019.840088, -484.157654, 47.193256
"Chair #2", "Alval Uvani's House ", "LeyawiinAlvalUvanisHouse", -1026.247314, -800.449097, 47.193245
"Chair #3", "Alval Uvani's House ", "LeyawiinAlvalUvanisHouse", -219.490143, -140.547318, 47.313705
"Chair #4", "Alval Uvani's House ", "LeyawiinAlvalUvanisHouse", -231.351974, 133.574997, 47.313705
"Chair #5", "Alval Uvani's House ", "LeyawiinAlvalUvanisHouse", -683.906799, -740.147888, 45.783226
"Chair #6", "Alval Uvani's House ", "LeyawiinAlvalUvanisHouse", -689.616455, -631.538513, 45.783226
"Chair #7", "Alval Uvani's House ", "LeyawiinAlvalUvanisHouse", -737.728271, -922.858643, 45.783226
"Chair #8", "Alval Uvani's House ", "LeyawiinAlvalUvanisHouse", -753.519287, -626.328796, 45.783226
"Chair #9", "Alval Uvani's House ", "LeyawiinAlvalUvanisHouse", -760.683289, -739.832092, 45.783226
"Chair #10", "Alval Uvani's House ", "LeyawiinAlvalUvanisHouse", -814.885193, 97.973732, 48.836792
"Chair #11", "Alval Uvani's House ", "LeyawiinAlvalUvanisHouse", -953.296021, 107.750481, 48.836803
"Chair #12", "Alval Uvani's House ", "LeyawiinAlvalUvanisHouse", -955.654602, -79.840424, 48.836800
"Chair #13", "Alval Uvani's House ", "LeyawiinAlvalUvanisHouse", 1.865761, -92.838280, 331.469910
"Chair #14", "Alval Uvani's House ", "LeyawiinAlvalUvanisHouse", 6.220305, 95.690315, 331.469910
"Stool #1", "Alval Uvani's House ", "LeyawiinAlvalUvanisHouse", -335.277374, -806.245972, 16.249332
"Stool #2", "Alval Uvani's House ", "LeyawiinAlvalUvanisHouse", -350.302063, -715.579407, 16.249329
"Bed #1", "Alval Uvani's House 2nd Floor", "LeyawiinAlvalUvanisHouse2ndFloor", -2559.674316, -651.928833, 48.851826
"Bench #1", "Alval Uvani's House 2nd Floor", "LeyawiinAlvalUvanisHouse2ndFloor", -2680.492676, -685.113892, 16.344299
"Chair #1", "Alval Uvani's House 2nd Floor", "LeyawiinAlvalUvanisHouse2ndFloor", -2611.164307, -189.436539, 44.758678
"Chair #2", "Alval Uvani's House 2nd Floor", "LeyawiinAlvalUvanisHouse2ndFloor", -2696.239258, -325.849548, 44.758728
"Chair #3", "Alval Uvani's House 2nd Floor", "LeyawiinAlvalUvanisHouse2ndFloor", -2724.194336, -221.904190, 44.758678
"Chair #4", "Alval Uvani's House 2nd Floor", "LeyawiinAlvalUvanisHouse2ndFloor", -2827.792725, -665.166260, 44.758728
"Chair #5", "Alval Uvani's House 2nd Floor", "LeyawiinAlvalUvanisHouse2ndFloor", -2957.463623, -95.027695, 44.758728
"Chair #1", "Amantius Allectus' Basement", "ICTempleDistrictAmantiusAllectusBasement", 1767.153198, 2464.264893, 7241.710938
"Chair #2", "Amantius Allectus' Basement", "ICTempleDistrictAmantiusAllectusBasement", 1862.191284, 2503.316895, 7241.710938
"Chair #3", "Amantius Allectus' Basement", "ICTempleDistrictAmantiusAllectusBasement", 2075.816895, 2517.517090, 7241.710938
"Chair #4", "Amantius Allectus' Basement", "ICTempleDistrictAmantiusAllectusBasement", 2180.526367, 2187.817871, 7241.710938
"Bench #1", "Amantius Allectus' House", "ICTempleDistrictAmantiusAllectusHouse", 318.531403, 226.851135, -232.295013
"Bench #2", "Amantius Allectus' House", "ICTempleDistrictAmantiusAllectusHouse", 389.678223, 395.405396, -232.295013
"Chair #1", "Amantius Allectus' House", "ICTempleDistrictAmantiusAllectusHouse", -143.310806, 369.274017, -202.733948
"Chair #2", "Amantius Allectus' House", "ICTempleDistrictAmantiusAllectusHouse", -90.909042, 888.395813, -201.339462
"Chair #3", "Amantius Allectus' House", "ICTempleDistrictAmantiusAllectusHouse", 200.493423, 692.183350, -202.733948
"Chair #4", "Amantius Allectus' House", "ICTempleDistrictAmantiusAllectusHouse", 467.609436, 527.503296, -204.193817
"Chair #5", "Amantius Allectus' House", "ICTempleDistrictAmantiusAllectusHouse", 64.378876, 536.555359, -203.895523
"Chair #6", "Amantius Allectus' House", "ICTempleDistrictAmantiusAllectusHouse", 90.712570, 654.543274, -203.895523
"Bed #1", "Amantius Allectus' Private Quarters", "ICTempleDistrictAmantiusAllectusHouseUpstairs", 1865.335938, 2155.112793, 7212.304688
